pattern_id,pattern_name,pattern_class,discipline_origin,consumer_areas,ratifying_decision_id,originating_initiative_id,pattern_md_anchor,canonical_artifact_path,acceptance_criteria_human,acceptance_criteria_automation,status,last_review,last_review_by,notes
pattern_program_topic_layout,Forward layout convention plane x program x topic for canonical surfaces,forward_layout,compliance,marketing;research;techlab;operations;legal;people,D-IH-79-A,INIT-OPENCLAW_AKOS-22,#pattern-program-topic-layout,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/README.md,A new program or topic is housed under compliance/<plane>/ + _assets/<plane>/<program_id>/<topic_id>/ + <role>/programs/<program_id>/,validate_hlk_km_manifests.py PASS confirming manifest paths resolve,active,2026-05-15,PMO,Initiative 22 / D-IH-22-A; not a CSV pattern but the layout discipline every register inherits. Cross-references TOPIC_REGISTRY + PROGRAM_REGISTRY (sibling dimensions)
pattern_sop_addendum_split,SOP body and addendum split for executor-first plain-language documentation,documentation_layering,people_operations,marketing;research;techlab;operations;legal;people;ethics;finance;compliance,D-IH-80-B,INIT-OPENCLAW_AKOS-80,#pattern-sop-addendum-split,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/SOP-META_PROCESS_MGMT_001.md,An author can mint a new SOP body and a paired *.addendum.md side-by-side; SOP-META Body and Addendum split rubric clarifies what goes where (executor-context vs supporting-context test),validate_design_pattern_registry.py --jargon-scan PASS on body file; sibling *.addendum.md auto-discovered and reported as exempt; suffix-based reject defense-in-depth at scan time,active,2026-05-16,People Operations Lead,I80 P1 mint per D-IH-80-B paired-file default for DAMA-DMBOK 2.0 readiness (Metadata Management + RMDM + Data Integration alignment). Sibling pattern_paired_sop_runbook focuses on executable artifacts (SOP+runbook); this pattern focuses on reader-audience layering (executor body + auditor/system-owner addendum). First instantiation lands at I80 P2 (HOLISTIKA_STAKEHOLDER_LENSES.md + .addendum.md). Single-file remains the degenerate case when the SOP has no addendum-worthy content. Forward-charters future patterns of same shape (pattern_executor_first_documentation; pattern_per_audience_view).
pattern_4layer_output_architecture_below_quality_fabric,4-layer output architecture (output_type x artifact_class x component_primitive x render_surface) below the 5-axis Quality Fabric,output_architecture_hierarchy,people_operations,marketing;research;techlab;operations;legal;people;ethics;finance;compliance,D-IH-86-BB,INIT-OPENCLAW_AKOS-86,#pattern-4layer-output-architecture-below-quality-fabric,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/OUTPUT_TYPE_REGISTRY.csv,An author can mint a new artifact by reading the 4-layer hierarchy (output type / artifact class / component primitive / render surface) and the 5-axis Quality Fabric derives the per-layer quality bar; per-primitive doctrine pages reach Shadcn/HeroUI/Radix-shape depth (purpose / inputs / variants by audience / variants by channel / brand-voice rules / accessibility / anti-patterns / good+bad examples / research grounding / cross-references) for multi-modal outputs (prose / slide / image / voice / mermaid / gantt / web / pdf),validate_output_architecture_registries.py PASS for all 3 registries with cross-FK resolution against AUDIENCE_REGISTRY + DECISION_REGISTER + CHANNEL_TOUCHPOINT_REGISTRY; release-gate.py wires it as PASS/FAIL gate; Supabase mirrors (output_type_registry_mirror + artifact_class_registry_mirror + component_primitive_registry_mirror) populated and FK-consistent with canonical CSVs,active,2026-05-21,Brand & Narrative Manager,I86 Wave K mint (architectural skeleton at status:active for the 3 registries + 3 libraries) + Wave L hardening (Pydantic SSOT + composite validator + release-gate wiring + Supabase mirrors); per-row doctrine pages mature inside forward-chartered I-NN-OUTPUT-ARCHITECTURE candidate (activation gates A1 compose() runbook + A2 UAT 11-class promotion + A3 first channel doctrine). External research grounding per akos-applied-research-discipline.mdc RULE 2: Shadcn (open code architecture) + HeroUI/NextUI (variant + design-token model) + Radix (a11y primitives) + Aceternity (motion + composition) + Mailchimp pattern library (email primitive precedent) + Material Design 3 (cross-modal output type matrix). Sibling of pattern_register_csv_pydantic_validator_mirror (which gives this pattern its mechanical surface) and pattern_classification_lattice (which the registries inherit access_level + confidence_level + source_taxonomy from). Operator-named reframing 2026-05-20: the Quality Fabric stays at 5 axes; the 4-layer hierarchy sits below the fabric and is parametrised by it (compose() returns a derived bar PER LAYER).
pattern_inter_wave_regression_discipline,Inter-wave regression sweep discipline (12-dimension probe + 5-option inline-ratify per finding),inter_wave_regression_cadence,people_operations,marketing;research;techlab;operations;legal;people;ethics;finance;compliance,D-IH-86-BK,INIT-OPENCLAW_AKOS-86,#pattern-inter-wave-regression-discipline,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/INTER_WAVE_REGRESSION_DISCIPLINE.md,A human or AIC role_owner can execute the 12-dimension regression sweep against any wave's deliverables by reading the canonical §2 dimensions table and manually drafting the findings table + posting the inline-ratify AskQuestion batch,scripts/inter_wave_regression_sweep.py --wave-closing <wave-letter> emits the dated Markdown findings report; --self-test PASS at every pre_commit via verification-profiles.json,active,2026-05-21,PMO,I86 Wave M mint per D-IH-86-BK (canonical) + D-IH-86-BM (Quality Fabric 10th specialty tagging) + D-IH-86-BN (INFO->FAIL ramp) + D-IH-86-BP (SOP+runbook pairing). 7 baseline + 5 conditional dimensions per compose_REGRESSION(audience channel scenario brand governance wave_closing). Sibling of pattern_drift_gate_validator (mechanical surface for Tier 1 dimensions 7+8) + pattern_inline_ratify_via_askquestion (5-option disposition enum surface) + pattern_paired_sop_runbook (SOP+runbook pairing for this pattern). External research grounding per akos-applied-research-discipline.mdc RULE 2: IEEE 829-2008 Standard for Software and System Test Documentation + ISTQB Foundation Level Syllabus (regression discipline structure) + Continuous Delivery 2010 (Humble + Farley; commit-stage gate at wave-cadence) + Toyota Production System andon cord (Liker 2004; any worker halts the line when defects surface) + Google SRE Workbook 2018 (Production Readiness Review at wave granularity).
pattern_dataops_discipline,DataOps quality discipline (7-dimension data quality bar across canonical CSVs / mirrors / FDW / observability),quality_fabric_specialty_canonical,people_operations,techlab;operations;compliance;ethics;people,D-IH-86-BU,INIT-OPENCLAW_AKOS-86,#pattern-dataops-discipline,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/DATAOPS_DISCIPLINE.md,An operator or AIC role_owner can apply the 7-dimension data quality bar at every canonical CSV mint by following DATAOPS_DISCIPLINE.md plus existing validate_hlk.py + compliance_mirror_emit infrastructure,Existing validate_hlk.py + sync_compliance_mirrors_from_csv.py + release-gate.py compliance_mirror_emit step fire the 7 dimensions; paired scripts/dataops_quality_check.py forward-chartered when canonical promotes to active,active,2026-05-21,Founder/CEO,Wave M P5 Cluster B sub-decision per D-IH-86-BU; fulfils HOLISTIKA_QUALITY_FABRIC.md forward-charter D-IH-86-AZ; 14th pattern_class enum value (quality_fabric_specialty_canonical) shared across the 4 fresh specialty canonical mints
pattern_mktops_discipline,MKTOps quality discipline (7-dimension marketing campaign quality bar across briefs / creative / landing pages / adapters / personas / brand voice),quality_fabric_specialty_canonical,people_operations,marketing;operations;ethics;people,D-IH-86-BU,INIT-OPENCLAW_AKOS-86,#pattern-mktops-discipline,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/MKTOPS_DISCIPLINE.md,An operator or AIC role_owner (Marketing/Reach + Operations/RevOps) can apply the 7-dimension marketing quality bar at every campaign launch by following MKTOPS_DISCIPLINE.md plus existing adapter-registry validators + brand-drift validator,Existing adapter-registry validators + validate_brand_baseline_reality_drift.py fire MKT-04/05/07; paired scripts/mktops_campaign_quality_check.py forward-chartered when discipline promotes to active,active,2026-05-21,Founder/CEO,Wave M P5 Cluster B sub-decision per D-IH-86-BU; fulfils HOLISTIKA_QUALITY_FABRIC.md forward-charter D-IH-86-AZ; 14th pattern_class enum value shared with sibling specialty mints
pattern_techops_discipline,TechOps quality discipline (7-dimension system reliability bar: uptime / Web Vitals / error budget / deploys / security / observability / incidents),quality_fabric_specialty_canonical,people_operations,techlab;operations;ethics;people,D-IH-86-BU,INIT-OPENCLAW_AKOS-86,#pattern-techops-discipline,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/TECHOPS_DISCIPLINE.md,An operator or AIC role_owner (System Owner + DevOPS) can apply the 7-dimension system reliability bar at every production deploy by following TECHOPS_DISCIPLINE.md plus existing Vercel/Render/Sentry/Supabase MCP infrastructure,Existing Sentry/Vercel/Render/Supabase MCP probes + release-gate.py fire TECH-01..07; paired scripts/techops_reliability_check.py forward-chartered when discipline promotes to active,active,2026-05-21,Founder/CEO,Wave M P5 Cluster B sub-decision per D-IH-86-BU; fulfils HOLISTIKA_QUALITY_FABRIC.md forward-charter D-IH-86-AZ; 14th pattern_class enum value shared with sibling specialty mints
pattern_ux_discipline,UX quality discipline (7-dimension UX bar across research / channels / accessibility / i18n / IA / visual / interaction),quality_fabric_specialty_canonical,people_operations,marketing;research;techlab;operations;people,D-IH-86-BU,INIT-OPENCLAW_AKOS-86,#pattern-ux-discipline,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/UX_DISCIPLINE.md,An operator or AIC role_owner (Brand & Narrative Manager + Front-End Developer co-owner) can apply the 7-dimension UX bar at every user-facing artefact deploy by following UX_DISCIPLINE.md plus paired impeccable skill,Existing validate_locale_orthography.py + axe-core/Lighthouse a11y CI fire UX-03/04/06; paired SOP-PEOPLE_UX_RESEARCH_001.md forward-chartered when channel doctrines mature,active,2026-05-21,Founder/CEO,Wave M P5 Cluster B sub-decision per D-IH-86-BU; fulfils HOLISTIKA_QUALITY_FABRIC.md forward-charter D-IH-86-AX (originally forward-chartered in Wave J); 14th pattern_class enum value shared with sibling specialty mints
pattern_capability_doctrine_bearer_class_framing,Capability doctrine bearer-class framing (Talent-H + Talent-A axes overlaid on role taxonomy via sub_area; anti-over-horizontalism rework reuses existing roles),classification_lattice,people_operations,marketing;research;techlab;operations;legal;people;ethics;finance;compliance,D-IH-82-J,INIT-OPENCLAW_AKOS-82,#pattern-capability-doctrine-bearer-class-framing,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/HOLISTIKA_CAPABILITY_DOCTRINE.md,A human or AIC role_owner (CPO + Capability Curator + Talent Slot -- MADEIRA) can apply the bearer-class framing at every new role-mint by reading HOLISTIKA_CAPABILITY_DOCTRINE.md ��4 axis taxonomy and walking the anti-over-horizontalism existing-role-inheritance test before minting a parallel row (5-15min per role decision),scripts/validate_hlk.py covers baseline_organisation.csv schema integrity + scripts/inter_wave_regression_sweep.py DIM-13-ROLE-PROCESS-PAIRING-COMPLETENESS conditional dimension fires on any baseline_organisation.csv + process_list.csv coupled mint to verify bidirectional FK + missing-pair detection (per D-IH-86-CL paired-mint completeness doctrine codification),active,2026-05-21,Founder/CEO,"I82 P1 Wave P operator-batched ratify gate mint per D-IH-82-J (anti-over-horizontalism rework) + D-IH-82-K (Talent-A 2-row scope) + D-IH-82-PREREQ (P1 closure). 16th pattern in registry. Inherits pattern_class=classification_lattice (Talent-H/Talent-A axes overlay role taxonomy via sub_area column; bearer class is a refinement of role accountability, not a parallel function). Anti-over-horizontalism rework precedent: operator-explicit Q2 framing 2026-05-21 'if you can avoid over-horizontalism, Option A; if you can't, propose new thing that reuses or asserts or names them or rework them all'. Rework reuses CPO (Talent-H authority) + People Operations Lead (Talent-H coordination); mints only Capability Curator as the genuinely-novel Talent-H row (confidence-rating curation discipline distinct from Ethics Advisor + Learning Curator). Talent-A side mints 2 NEW rows (Talent Slot -- MADEIRA + Talent Slot -- AIC dispatcher) per akos-people-discipline-of-disciplines.mdc RULE 5 role-class anchored pattern. External research grounding per akos-applied-research-discipline.mdc RULE 2: classification-lattice pattern is grounded in DAMA-DMBOK 2.0 Reference & Master Data Management knowledge area (axis-overlay-on-existing-taxonomy preserves SSOT) + Edgar Codd 1970 relational model (orthogonal axes; bearer_class is a typed FK column not a separate table) + anti-over-horizontalism is grounded in Mintzberg 1979 organisational coordination mechanisms (mutual adjustment + direct supervision via existing-role-inheritance vs standardisation via parallel-roster expansion). Sibling of pattern_inter_wave_regression_discipline DIM-13 (the regression dimension that mechanically enforces this pattern's wiring completeness)."
pattern_index_integrity_discipline,Baseline index integrity sweep discipline (8-dimension probe + 5-option inline-ratify per finding + deterministic-fix paths),index_integrity_cadence,people_operations,marketing;research;techlab;operations;legal;people;ethics;finance;compliance,D-IH-86-CD,INIT-OPENCLAW_AKOS-86,#pattern-index-integrity-discipline,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/INDEX_INTEGRITY_DISCIPLINE.md,A human or AIC role_owner (PMO interim until COO activation) can execute the 8-dimension baseline-index sweep at every wave-close + canonical-CSV mint by reading the canonical §2 dimensions table and manually probing each index vs source-of-truth + posting the inline-ratify AskQuestion batch (30-60min vs ~5s runbook),scripts/baseline_index_sweep.py --sweep-trigger <trigger> emits the dated Markdown + JSON sweep report; scripts/validate_index_freshness.py --self-test PASS at every pre_commit via verification-profiles.json validate_index_freshness_self_test step,active,2026-05-21,PMO,I86 Wave N P3 mint per D-IH-86-CD (canonical + INFO ramp) + D-IH-86-CE (8-dimension probe set) + D-IH-86-CF (SOP+runbook pairing per akos-executable-process-catalog.mdc Rule 1). 6 baseline (IDX-01/02/03/04/07/08; always fire) + 2 conditional (IDX-05/06; fire on source-of-truth delta) per compose_INDEX(governance). 11th Quality Fabric specialty. Sibling of pattern_inter_wave_regression_discipline (Wave M precedent; same shape: canonical + Pydantic chassis + validator + runbook + cursor rule + skill + SOP+runbook pair + pattern-registry row + INFO->FAIL ramp). Sister of pattern_drift_gate_validator (mechanical surface) + pattern_inline_ratify_via_askquestion (5-option disposition enum surface). External research grounding per akos-applied-research-discipline.mdc RULE 2: DAMA-DMBOK 2.0 RMDM knowledge area (data quality as continuous discipline) + SRE Workbook 2018 toil-reduction (deterministic-fix paths as toil elimination) + Continuous Documentation movement 2024-25 (docs-as-code with automated validation). Cadence: event_triggered at wave-close + canonical-CSV mint per process_list.csv row hol_peopl_dtp_index_integrity_001.
pattern_uat_class_taxonomy,UAT 11-section + frontmatter taxonomy bar (compose_UAT 7-class shape per HOLISTIKA_QUALITY_FABRIC.md axis composition; 12th Quality Fabric specialty),quality_fabric_specialty_canonical,people_operations,marketing;research;techlab;operations;legal;people;ethics;finance;compliance,D-IH-86-CW,INIT-OPENCLAW_AKOS-86,#pattern-uat-class-taxonomy,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/UAT_DISCIPLINE.md,A human or AIC role_owner can author a closure UAT report by reading UAT_DISCIPLINE.md Section 8.5 (11 sections + frontmatter schema) and SOP-PEOPLE_UAT_GOVERNANCE_001.md (AC-HUMAN steps); 15-30min per closure UAT (compact form) to 45-90min (multi-class composed form e.g. brand + render + deploy + browser-evidence). Field-test window observations at Waves S/T/U closes per field_test_window: frontmatter block on the canonical.,scripts/validate_uat_report.py --self-test exits 0 at every pre_commit via verification-profiles.json validate_uat_report_self_test step; --report <path> emits findings table with FAIL severity for forward-only-by-date reports (2026-05-19 watershed); 5-option disposition enum per akos-uat-discipline.mdc RULE 5; release-gate.py run_uat_report_validation function wired (INFO->FAIL ramp at Wave R+4 post-window per D-IH-86-CW).,active,2026-05-24,PMO,I86 Wave R+1 P1 mint per D-IH-86-CW (UAT_DISCIPLINE.md charter->active promotion via paired SOP + addendum + runbook + cursor rule + skill + process_list row + this pattern-registry row + 3-wave field-test window monitoring obligation per META4-b operator ratification + machine-readable field_test_window frontmatter per Q3-b/Q4-b extension). 12th Quality Fabric specialty. Sibling of pattern_inter_wave_regression_discipline (Wave M; 10th) + pattern_index_integrity_discipline (Wave N; 11th); inherits the same shape (canonical + Pydantic chassis + validator + runbook + cursor rule + skill + SOP+runbook pair + pattern-registry row + INFO->FAIL ramp). Sister of pattern_drift_gate_validator (mechanical surface) + pattern_inline_ratify_via_askquestion (5-option disposition enum surface) + pattern_sop_addendum_split (third instantiation after AGENTIC_OPERATIONS + CROSS_AREA_BREAKTHROUGH). External research grounding per akos-applied-research-discipline.mdc RULE 2: World Quality Report 2024 (38% fewer post-release defects + 52% fewer escalations with structured UAT) + Standish CHAOS 2023 (inadequate user involvement = 15% of failed IT projects) + 2026 Playwright-MCP audit-trail pattern (screenshot + sha256 + accessibility-snapshot at decision points) + Yuri Kan UAT Documentation Complete Guide (sign-off finality bar).
pattern_pwf_governance_discipline,PASS-WITH-FOLLOWUP Governance Discipline (5-class followup taxonomy + structured rationale + 5 PWF-FM-* codes; 12th QF specialty content axis),quality_fabric_specialty_canonical,people_operations,marketing;research;techlab;operations;legal;people;ethics;finance;compliance,D-IH-86-CX,INIT-OPENCLAW_AKOS-86,#pattern-pwf-governance-discipline,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/PASS_WITH_FOLLOWUP_GOVERNANCE_DISCIPLINE.md,A human or AIC role_owner can author a structured verdict_followup_rationale block by reading PASS_WITH_FOLLOWUP_GOVERNANCE_DISCIPLINE.md (5-class enum + per-class examples) + SOP-PEOPLE_PWF_GOVERNANCE_001.md (AC-HUMAN steps); 5-10 min per UAT closure (rationale block authoring + tracker co-mint when class requires); deferred-work-with-tracker and escalation-to-blocker-tracker classes require tracker_path co-mint (extra 10-20 min).,scripts/validate_pwf_governance.py --self-test exits 0 at every pre_commit via verification-profiles.json validate_pwf_governance_self_test step; --report <path> --strict emits findings table with FAIL severity on forward-only-by-date reports (2026-05-19 watershed) for PWF-FM-01..04 codes + WARN for PWF-FM-05; --all --strict sweeps all in-scope UAT reports under docs/wip/planning/**/reports/uat-*.md; 5-option disposition enum per akos-pwf-governance.mdc RULE 3; release-gate.py run_pwf_governance_validation function wired (INFO->FAIL ramp at Wave T at earliest per D-IH-86-CX).,active,2026-05-25,PMO,I86 Wave R+1 Commit 3-a mint per D-IH-86-CX (PWF_GOVERNANCE_DISCIPLINE charter mint via Pydantic chassis akos/hlk_pwf_governance.py + validator scripts/validate_pwf_governance.py + 35/35 tests in tests/test_validate_pwf_governance.py + canonical doctrine + paired SOP + cursor rule akos-pwf-governance.mdc + paired skill pwf-governance-craft + this pattern-registry row + PRECEDENCE.md entries + HOLISTIKA_QUALITY_FABRIC.md Section 6 row + process_list.csv row hol_peopl_dtp_pwf_governance_001 + CI wiring). 12th Quality Fabric specialty. Sibling of pattern_uat_class_taxonomy (Wave R+1 P1; 11th-realised classification-axis pair); composes multiplicatively per HOLISTIKA_QUALITY_FABRIC.md Section 3. External research grounding per akos-applied-research-discipline.mdc RULE 2: World Quality Report 2024 + Standish CHAOS 2023 (structural rationale for ambiguous closure verdicts reduces post-release escalations) + ITIL 4 Continual Improvement Register pattern (every CSI item carries owner + target date + status) + Six Sigma DMAIC Control phase (control plan must name monitoring obligation + frequency + responsibility).
