decision_id,title,initiating_initiative_id,linked_initiative_ids,linked_ops_action_ids,linked_policies,linked_topic_ids,decision_class,status,reversibility,decided_at,decision_log_path,supersedes_decision_id,summary,notes,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review
D-IH-32-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-32,INIT-OPENCLAW_AKOS-32,,,,,closure,active,low,2026-05-04,docs/wip/planning/32-holistik-ops-maturation/decision-log.md,,Closes INIT-OPENCLAW_AKOS-32 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-45-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-45,INIT-OPENCLAW_AKOS-45,,,,,closure,active,low,2026-05-04,docs/wip/planning/45-live-eval-harness/decision-log.md,,Closes INIT-OPENCLAW_AKOS-45 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-46-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-46,INIT-OPENCLAW_AKOS-46,,,,,closure,active,low,2026-05-03,docs/wip/planning/46-neo4j-strategic-posture/decision-log.md,,Closes INIT-OPENCLAW_AKOS-46 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-47-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-47,INIT-OPENCLAW_AKOS-47,,,,,closure,active,low,2026-05-02,docs/wip/planning/47-user-centric-uat/decision-log.md,,Closes INIT-OPENCLAW_AKOS-47 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-48-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-48,INIT-OPENCLAW_AKOS-48,,,,,closure,active,low,2026-05-02,docs/wip/planning/48-operator-dossier/decision-log.md,,Closes INIT-OPENCLAW_AKOS-48 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-49-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-49,INIT-OPENCLAW_AKOS-49,,,,,closure,active,low,2026-05-03,docs/wip/planning/49-madeira-management-rollup/decision-log.md,,Closes INIT-OPENCLAW_AKOS-49 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-50-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-50,INIT-OPENCLAW_AKOS-50,,,,,closure,active,low,2026-05-03,docs/wip/planning/50-live-cycle-closure/decision-log.md,,Closes INIT-OPENCLAW_AKOS-50 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-51-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-51,INIT-OPENCLAW_AKOS-51,,,,,closure,active,low,2026-05-03,docs/wip/planning/51-persona-calibration-cleanup/decision-log.md,,Closes INIT-OPENCLAW_AKOS-51 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-52-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-52,INIT-OPENCLAW_AKOS-52,,,,,closure,active,low,2026-05-03,docs/wip/planning/52-multi-model-judge-and-cost-discipline/decision-log.md,,Closes INIT-OPENCLAW_AKOS-52 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-53-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-53,INIT-OPENCLAW_AKOS-53,,,,,closure,active,low,2026-05-03,docs/wip/planning/53-graphrag-poc-closure/decision-log.md,,Closes INIT-OPENCLAW_AKOS-53 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-54-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-54,INIT-OPENCLAW_AKOS-54,,,,,closure,active,low,2026-05-04,docs/wip/planning/54-surface-test-hardening/decision-log.md,,Closes INIT-OPENCLAW_AKOS-54 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-57-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-57,INIT-OPENCLAW_AKOS-57,,,,,closure,active,low,2026-05-04,docs/wip/planning/57-cycle-closeout-live-validation/decision-log.md,,Closes INIT-OPENCLAW_AKOS-57 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-58-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-58,INIT-OPENCLAW_AKOS-58,,,,,closure,active,low,2026-05-06,docs/wip/planning/58-cycle-2-multi-track-forward/decision-log.md,,Closes INIT-OPENCLAW_AKOS-58 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-OPS-1,Full-parity Supabase reconciliation approved,INIT-OPENCLAW_AKOS-22A,,,,,execution,active,medium,2026-05-04,docs/wip/planning/22a-i22-post-closure-followups/decision-log.md,,Reverse-import + apply migrations to bring MasterData Supabase to ledger parity (I49 + I51 + I14-phase-3).,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-OPS-2,Rename I14 Phase 3 migration to clean tail timestamp,INIT-OPENCLAW_AKOS-22A,,,,,execution,active,low,2026-05-04,docs/wip/planning/22a-i22-post-closure-followups/decision-log.md,,Idempotent reapply at 20260503190000 to keep migration ledger linear.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-OPS-3,Reverse-import kirbe.monitoring_logs_retention to git,INIT-OPENCLAW_AKOS-22A,,,,,execution,active,low,2026-05-04,docs/wip/planning/22a-i22-post-closure-followups/decision-log.md,,Pre-existing remote body imported to git so git remains SSOT.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-46-Decision-P3-NO-SHIP-2026-05-03,GraphRAG PoC NO-SHIP verdict (D-IH-46-E non-additive bar),INIT-OPENCLAW_AKOS-46,,OPS-53-1,,,closure,active,high,2026-05-03,docs/wip/planning/46-neo4j-strategic-posture/decision-log.md,,Non-additive bar (≥3pp / ≥30% / ≥40%) not cleared; ship deferred under conditional gate.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-58-I,Judge live-API wiring + roster pivot under operator go-all-out,INIT-OPENCLAW_AKOS-58,,OPS-58-1;OPS-58-2,,,execution,active,medium,2026-05-06,docs/wip/planning/58-cycle-2-multi-track-forward/decision-log.md,,Wired _call_member_via_api for live Anthropic + OpenAI dispatch; pivoted to all-Anthropic roster after key probe.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-58-J,OPS-58-3 forwarded as engineering follow-up,INIT-OPENCLAW_AKOS-58,,OPS-58-3,,,scope,active,high,2026-05-06,docs/wip/planning/58-cycle-2-multi-track-forward/decision-log.md,,Persona-aware offline _heuristic_persona_fit fix (RICE 149) closes the persona=None rubric gap.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-58-K,OpenAI key rotation forwarded as operator action,INIT-OPENCLAW_AKOS-58,,OPS-58-2,,,execution,active,high,2026-05-06,docs/wip/planning/58-cycle-2-multi-track-forward/decision-log.md,,Existing key returns 401; operator rotates and updates ~/.openclaw/.env (RICE 144).,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-65-A,Panel placement (new top-level operator group /operator/planning/),INIT-OPENCLAW_AKOS-65,,,,,architecture,active,medium,2026-05-07,docs/wip/planning/65-akos-planning-workspace-panel/decision-log.md,,New top-level /operator/planning/ group; existing /operator/initiatives stays as registry-rolled view; no nesting under /mission-control to keep MC at 7 tiles.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-65-B,"Markdown rendering source (live GitHub Contents API, 60s cache, 5-min Supabase fallback)",INIT-OPENCLAW_AKOS-65,,,,,architecture,active,low,2026-05-07,docs/wip/planning/65-akos-planning-workspace-panel/decision-log.md,,GitHub is SSOT for markdown; mirror lag rejected; deploy-time prebuild rejected; primary path is GitHub Contents API; secondary cache fallback only on outage.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-65-C,Time-travel via ?ref=<sha> query string (with date-picker resolver),INIT-OPENCLAW_AKOS-65,,,,,architecture,active,low,2026-05-07,docs/wip/planning/65-akos-planning-workspace-panel/decision-log.md,,Use git-native history via GitHub Contents ?ref=<sha>; reject Supabase historical snapshots (duplicates git); date-picker resolver via git rev-list --before; feature-flagged off if not ready by P3.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-A,Brand architecture pattern,INIT-OPENCLAW_AKOS-66,,,,,architecture,active,medium,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,Branded House selected for one legal entity one umbrella brand and three delivery modes.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-B,Sub-mark voice tier,INIT-OPENCLAW_AKOS-66,,,,,architecture,active,medium,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,Two-tier voice model selected for master voice plus delivery-mode modulation.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-C,Trademark filing scope,INIT-OPENCLAW_AKOS-66,,,,,scope,active,medium,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,Strategy and ready-to-sign filing data delivered while submission remains operator and counsel driven.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-D,Spanish and French voice canonicals,INIT-OPENCLAW_AKOS-66,,,,,scope,active,low,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,Spanish deep enrichment and French canonical selected based on transcript evidence.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-E,Manifesto rewrite scope,INIT-OPENCLAW_AKOS-66,,,,,scope,active,medium,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,All five manifesto entries kept in scope to avoid known drift.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-F,Other website content scope,INIT-OPENCLAW_AKOS-66,,,,,scope,active,medium,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,Home services tech-lab how-we-work and vision surfaces kept in P5 scope with direct-access correction later.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-G,Boilerplate default theme,INIT-OPENCLAW_AKOS-66,,,,,architecture,active,low,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,Boilerplate dark default preserved while operator surface theme remains separate.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-H,Legacy dashboard and auth boundary,INIT-OPENCLAW_AKOS-66,,,,,governance,active,medium,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,Legacy dashboard and auth routes are out of Impeccable scope and protected by noindex posture.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-I,Vision artifact split,INIT-OPENCLAW_AKOS-66,,,,,architecture,active,low,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,One BRAND_VISION canonical with public-region markers selected over two SSOTs.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-J,I67 paired research input scope,INIT-OPENCLAW_AKOS-66,INIT-OPENCLAW_AKOS-67,,,,scope,active,low,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,Transcript evidence feeds both I66 voice mining and I67 funnel mining.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-K,I67 scaffold strength,INIT-OPENCLAW_AKOS-66,INIT-OPENCLAW_AKOS-67,,,,scope,active,low,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,I67 scaffold remains research-first and deliberately underlocked.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-L,I66 packaging model,INIT-OPENCLAW_AKOS-66,,,,,governance,active,low,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,Mega initiative with checkpoints selected over artificial split initiatives.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-M,Baseline Reality canonical visibility,INIT-OPENCLAW_AKOS-66,,,,,governance,active,medium,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,Dual-register matrix selected for internal rigor and external safe messaging.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-N,HLK abbreviation governance,INIT-OPENCLAW_AKOS-66,,,,,governance,active,low,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,HLK allowed only in governed paired contexts and technical contexts.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-O,Logo audit decisions,INIT-OPENCLAW_AKOS-66,,,,,architecture,active,medium,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,Multi-context logo system selected with Hi monogram primary and RGB rings deprecated.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-P,Agent checkpoint discipline,INIT-OPENCLAW_AKOS-66,,,,,governance,active,low,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,Long-running pause and self-checkpoint discipline codified as a cursor rule.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-Q,Methodology track-record evidence,INIT-OPENCLAW_AKOS-66,,,,,governance,active,medium,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,Anonymized founder track record selected for investor and credibility materials.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-R,Intelligence working space,INIT-OPENCLAW_AKOS-66,,,,,architecture,active,low,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,docs/wip/intelligence selected for operator-private working artifacts.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-S,Impeccable baseline reality gate,INIT-OPENCLAW_AKOS-66,,,,,architecture,active,low,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,BASELINE_REALITY.md added as Impeccable setup gate for multi-audience surfaces.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-T,I67 RevOps Discovery naming,INIT-OPENCLAW_AKOS-66,INIT-OPENCLAW_AKOS-67,,,,scope,active,medium,2026-05-08,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,RevOps Discovery selected as broader successor frame pending research validation.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-66-U,Trademark filing scope expansion,INIT-OPENCLAW_AKOS-66,,,,,scope,active,medium,2026-05-09,docs/wip/planning/66-brand-vision-ops-sweep/decision-log.md,,Trademark filing scope expanded to 7 marks across EUIPO and OEPM with ready-to-sign data per TRADEMARK_FILING_STRATEGY_2026-05; operator and counsel drive submission per D-IH-66-C handoff boundary.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
